Aider à boire;Alimentation et diètes;10301;C;0;"Faire le bilan hydrique, évaluer
Faire le bilan des éliminations, évaluer
Instruire le client et son entourage sur l’importance d’une bonne hydratation";let. c ch. 1;1
Aider à manger / à s’alimenter;Alimentation et diètes;10302;C;0;"Encourager à manger / donner à manger
Laver les mains du client / rincer sa bouche
Instruire le client et son entourage (au besoin)";let. c ch. 1;1
Alimentation par sonde;Alimentation et diètes;10304;B;15;"établir les besoins en liquides et en nutriments par jour
 préparer la solution nutritive
 installer le client
 vérifier que la sonde gastrique est en position correcte
 connecter la solution nutritive à la sonde et régler la rapidité du débit, ou
 instiller la solution nutritive avec une seringue
 rincer la sonde et la fermer
 soigner l’orifice buccal et nasal
 contrôler la fixation et la position de la sonde";let. b ch. 8;1
Pose de sonde gastrique;Alimentation et diètes;10305;B;20;"installer le client selon directives professionnelles
 mettre des gants (selon directives du service)
 mesurer la longueur de la sonde
 introduire la sonde par le nez
 vérifier que la sonde est bien dans l’estomac
 fixer la sonde";let. b ch. 8;1
Soins de gastrostomie;Alimentation et diètes;10306;B;13;"installer le client
 mettre des gants (selon directives du service)
 enlever le pansement sale
 soigner la peau autour de la stomie selon instructions du médecin
 refaire le pansement";let. b ch. 10;1
Soins de sonde naso-gastrique;Alimentation et diètes;10999;B;13;"installer le client
 mettre des gants (selon directives du service)
 enlever les fixations de la sonde
 soigner la peau, le nez, la bouche selon besoin
 refixer la sonde";let. b ch. 10;1
Accompagner aux WC;Elimination;10419;C;10;"accompagner le client aux WC / l’installer sur la chaise percée
 aider au déshabillage / rhabillage (au besoin)
 convenir avec le client d’un signal d’appel et attendre
 fournir le papier toilette ou aider le client à se nettoyer (au besoin)
 réinstaller le client";let. c ch. 1;1
Bassin / vase;Elimination;10401;C;8;"préparation du client (ôter les sous-vêtements), toilette intime si besoin
 mettre des gants
 apporter, positionner, enlever et vider le bassin / vase
 évaluer le contenu du bassin / vase
 aider le client à se nettoyer et à se rhabiller";let. c ch. 1;1
Bilan hydrique 24h;Elimination;10418;B;4;"instruire le client sur la façon de procéder soi-même à un bilan hydrique de
 24h
 contrôler et vérifier les résultats
 dépister les oedèmes et les documenter
 informer le médecin";let. b ch. 1;1
Changer (vider) la poche d’urine;Elimination;10999;C;5;"mettre des gants
 vidanger le système stérile
 changer, vider la poche d’urine non stérile";let. c ch. 1;1
Dialyse péritonéale;Elimination;10420;B;0;"branchement du cycleur ou dyalisat selon la norme
 i njection de médicaments dans la poche du dyalisat
 mise en route et contrôle du bon fonctionnement du traitement
 débranchement du cycleur ou du dyalisat
 prélèvement de matériel pour analyse au laboratoire
 surveillance clinique
 assurer le ravitaillement en matériel";let. b ch. 6;1
Enlever la sonde vésicale;Elimination;10408;B;4;"installer le client
 mettre des gants
 mettre une protection sous le client
 vider le ballon de la sonde à la seringue
 retirer la sonde";let. b ch. 5;1
Extraction manuelle de selles;Elimination;10412;B;20;"une heure avant l’extraction, donner un suppositoire à la glycérine ou autre
 selon o.m.
 installer le client
 mettre des gants
 mettre une protection sous le client
 masser l’abdomen
 extraire les selles
 nettoyer la zone anale";let. b ch. 11;1
Lavage de vessie;Elimination;10404;B;15;"préparation du client (ôter les sous-vêtements) et toilette intime si nécessaire
 mettre des gants
 mettre une protection sous le client
 enlever le sac d’urine ou ouvrir le bouchon de la sonde urinaire
 chauffer le liquide de lavage à température corporelle
 instiller
 contrôle du liquide qui coule en retour (qualitatif et quantitatif)
 remettre un sac d’urine ou fermer la sonde
 contrôler que le sac d’urine est en position convenable
 aider le client à se rhabiller";let. b ch. 11;1
Lavement;Elimination;10411;B;21;"installer le client
 instructions / conseils au client
 chauffer la solution à température corporelle
 mettre des gants
 mettre une protection sous le client
 poser la sonde rectale
 introduire la solution de lavage
 contrôler l’abdomen
 enlever la sonde";let. b ch. 11;1
Lavement / Lavage de stomie;Elimination;10417;B;20;"installer le client sur WC / chaise percée / bassin
 mettre des gants
 mettre une protection sous le client
 enlever la poche de stomie
 s’assurer du bon état de la stomie
 mettre en place le système de lavage et procéder au lavage
 enlever le système de lavage
 nettoyer et sécher la peau autour de la stomie
 mettre une nouvelle poche de stomie";let. b ch. 11;1
Mettre des protections / ajuster l’urinal;Elimination;10413;C;8;"installer le client
 mettre des gants
 enlever les protections usées ou l’urinal utilisé
 mettre de nouvelles protections / ajuster l’urinal
 mettre en place / enlever l’étui pénien avec poche d’urine
 instructions / conseils au client";let. c ch. 1;1
Petit lavement (type Practo-clyss);Elimination;10410;B;16;"installer le client
 instructions / conseils au client
 mettre des gants
 mettre une protection sous le client
 chauffer le lavement type Practo-clyss à température corporelle
 introduire le lavement type Practo-clyss
 enlever la sonde";let. b ch. 11;1
Pose de sonde rectale (gaz);Elimination;10409;B;7;"installer le client
 mettre des gants
 mettre une protection sous le client
 instructions / conseils au client
 introduire la sonde rectale
 contrôler l’abdomen
 enlever la sonde";let. b ch. 11;1
Pose de sonde vésicale (à demeure ou non)(*sauf pose de la première sonde);Elimination;10407;B;30;"installer le client
 mettre des gants
 mettre une protection sous le client
 faire la toilette intime
 poser la sonde (aseptique)
 si sonde à demeure, la fixer
 contrôler l’écoulement
 mettre la poche d’urine ou fermer la valve anti-reflux, ou enlever la sonde occasionnelle
 assurer la transmission correcte de l’échantillon d’urine au cabinet médical ou au laboratoire";let. b ch. 11;1
Soins / entretien de sonde vésicale;Elimination;10406;B;5;"contrôler la position de la sonde et le débit d’urine
 contrôler la quantité et la qualité d’urine
 mettre des gants
 changer ou vider la poche d’urine stérile ou non stérile";let. b ch. 11;1
Soins de stomie normale;Elimination;10415;B;15;"installer le client
 mettre des gants
 mettre une protection sous le client
 enlever la poche de stomie
 nettoyer et sécher la peau autour de la stomie
 appliquer crème ou onguent
 remettre la poche de stomie";let. b ch. 11;1
Soins d’urostomie;Elimination;10405;B;16;"installer le client
 mettre des gants
 mettre une protection sous le client
 enlever le sac de stomie
 nettoyer et sécher la peau autour de la stomie
 appliquer des produits pour la peau, si indiqué
 remettre un sac de stomie neuf";let. b ch. 11;1
Stimulation manuelle de la vessie;Elimination;10403;B;7;"installer et préparer le client
 mettre des gants
 mettre une protection sous le client ou l’urinal
 percussion de la vessie jusqu’à vidage complet
 vider l’urinal et enlever la protection";let. b ch. 11;1
Urinal;Elimination;10402;C;5;"préparation du client (ôter les sous-vêtements), toilette intime si nécessaire
 mettre des gants
 apporter, positionner, enlever et vider l’urinal / bassin / vase
 évaluer le contenu de l’urinal
 aider le client à se nettoyer";let. c ch. 1;1
Vider la poche de stomie;Elimination;10414;B;8;"installer le client
 mettre des gants
 enlever la poche de stomie
 contrôler la peau
 mettre une nouvelle poche";let. b ch. 11;1
Première évaluation;Evaluation - Conseil - Coordination;10901;A;60;"évaluation à l’aide des formulaires en vigueur à imad
 évaluation ciblée à l’aide d’instruments évalués scientifiquement (ex. ESAS)";let. a ch. 1;1
Réévaluation;Evaluation - Conseil - Coordination;10902;A;60;"évaluation à l’aide des formulaires en vigueur à imad
 évaluation ciblée à l’aide d’instruments évalués scientifiquement (ex. ESAS)
 récolte supplémentaire de données relatives à l’anamnèse
 ce point englobe l’analyse de la situation du client sur la base de l’évaluation,
 la détermination des objectifs et des interventions d’aide et de soins qui sont
 nécessaires, ainsi que la planification des intervenants";let. a ch. 1;1
Consulter médecin au sujet du client;Evaluation - Conseil - Coordination;10907;A;11;"informer le médecin traitant des conclusions et opinions du service au
 sujet du client, afin d’assurer sa prise en charge et son traitement de façon
 interdisciplinaire
 examiner la situation du client avec le médecin
 actualiser les prescriptions médicales";let. a ch. 2;1
